experiment	metric	x	lower_whisker	lower_quartile	median	upper_quartile	upper_whisker	mean	halfci	n
baseline	weighted_f1	1.220000	0.794315843	0.798606086	0.799343915	0.803933169	0.806691872	0.8005586	0.0028270126	10
augmented_r1	weighted_f1	2.220000	0.789929904	0.793449287	0.795566336	0.798503734	0.799787963	0.795591567	0.00235970555	10
augmented_r2	weighted_f1	3.220000	0.788303622	0.792377342	0.795216147	0.799261704	0.80031583	0.795353448	0.0029358609	10
filtered_r1	weighted_f1	4.220000	0.781870801	0.784346583	0.786166262	0.791803901	0.793613235	0.787522257	0.0032841168	10
filtered_r2	weighted_f1	5.220000	0.791200406	0.793206684	0.796000688	0.797889489	0.799564577	0.795655825	0.00217033607	10
