experiment	metric	x	lower_whisker	lower_quartile	median	upper_quartile	upper_whisker	mean	halfci	n
baseline	macro_f1	1.000000	0.810596485	0.815554858	0.816388587	0.819289541	0.822538385	0.816543261	0.00273583826	10
augmented_r1	macro_f1	2.000000	0.80559483	0.809231476	0.811566086	0.815046901	0.816297086	0.811806077	0.00260350575	10
augmented_r2	macro_f1	3.000000	0.804897485	0.809310441	0.811900344	0.814845826	0.816980844	0.811957204	0.00278644994	10
filtered_r1	macro_f1	4.000000	0.798751458	0.801014325	0.803676567	0.808914797	0.81027635	0.804630041	0.00322395101	10
filtered_r2	macro_f1	5.000000	0.808019198	0.809989794	0.81286577	0.814906016	0.816231171	0.8123965	0.00217329485	10
