model	panel	comparison	metric	y	delta_pp	err_minus	err_plus	ci_low_pp	ci_high_pp	p_holm	p_raw	significant
cnn_v2	plane	augmented_r1	per_plane_f1:ax	2.76	0.191166187	0.251086533	0.277834463	-0.0599203459	0.46900065	1	0.152169566	0
cnn_v2	plane	augmented_r1	per_plane_f1:co	1.76	0.492499399	0.430018007	0.465745891	0.0624813921	0.95824529	0.845430914	0.0301939612	0
cnn_v2	plane	augmented_r1	per_plane_f1:sa	0.76	0.354514029	0.361526974	0.375001982	-0.0070129442	0.729516011	1	0.0647870426	0
cnn_v2	plane	augmented_r1	plane_accuracy	5.76	0.33	0.25	0.29	0.08	0.62	0.772045591	0.023795241	0
cnn_v2	plane	augmented_r1	plane_macro_f1	4.76	0.346059872	0.271760495	0.297483272	0.0742993764	0.643543144	0.688062388	0.0185962807	0
cnn_v2	plane	augmented_r1	plane_weighted_f1	3.76	0.331587126	0.262780515	0.294931969	0.0688066104	0.626519095	0.676264747	0.0177964407	0
