source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,2,25,0.7753267973856209,0.772,0.7791869711661127,0.7618817496643545,0.7494736842105263,0.6307977736549165,0.8903225806451613,0.8461538461538461,filtered_r1
rf_tree_growth,2,50,0.8253676470588235,0.787,0.7950650821685397,0.7780353166170613,0.7531914893617021,0.6605839416058394,0.9084967320261438,0.8579881656804734,filtered_r1
rf_tree_growth,2,100,0.8553921568627451,0.782,0.7904540045123531,0.7721599597426616,0.7574468085106383,0.6361974405850092,0.9084967320261438,0.8596750369276218,filtered_r1
rf_tree_growth,2,200,0.8659109477124183,0.789,0.7994173934944039,0.7797421020868792,0.7747368421052632,0.6422018348623854,0.9235880398671097,0.8571428571428571,filtered_r1
rf_tree_growth,2,300,0.8711192810457516,0.79,0.7995963406412503,0.7807391545364649,0.7770700636942676,0.6423357664233577,0.9180327868852459,0.8609467455621301,filtered_r1
rf_tree_growth,2,400,0.8746936274509803,0.795,0.8033241868867921,0.7863051444780811,0.7863247863247863,0.656934306569343,0.9090909090909091,0.8609467455621301,filtered_r1
rf_tree_growth,2,500,0.8748978758169934,0.793,0.8016538747071071,0.784286037880447,0.7863247863247863,0.6544789762340036,0.9090909090909091,0.8567208271787297,filtered_r1
