source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,4,25,0.7986111111111112,0.765,0.7771751494964841,0.7551220008180914,0.7388535031847133,0.6165137614678899,0.92,0.8333333333333334,augmented_r2
rf_tree_growth,4,50,0.8438861655773421,0.788,0.7989459870250204,0.7788057400603418,0.7711864406779662,0.6482504604051565,0.9271523178807947,0.849194729136164,augmented_r2
rf_tree_growth,4,100,0.8746595860566448,0.794,0.8023315915495721,0.7852075428320129,0.774468085106383,0.6605839416058394,0.9120521172638436,0.8622222222222222,augmented_r2
rf_tree_growth,4,200,0.8865059912854031,0.802,0.8115072325719108,0.7942280521123429,0.7796610169491526,0.6763110307414105,0.9235880398671097,0.8664688427299704,augmented_r2
rf_tree_growth,4,300,0.8908632897603486,0.805,0.8146171149612329,0.7976036203907555,0.7777777777777778,0.6845878136200717,0.9266666666666666,0.8694362017804155,augmented_r2
rf_tree_growth,4,400,0.8946078431372549,0.806,0.8158657833270907,0.7983564217234566,0.7811158798283262,0.6810035842293907,0.9302325581395349,0.8711111111111111,augmented_r2
rf_tree_growth,4,500,0.897739651416122,0.807,0.8166460146507926,0.7996096182369375,0.7854077253218884,0.6845878136200717,0.9271523178807947,0.8694362017804155,augmented_r2
