source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,1,25,0.7808415032679739,0.777,0.7851175900984244,0.768135632348213,0.7647058823529411,0.6432532347504621,0.8918032786885246,0.8407079646017699,augmented_r1
rf_tree_growth,1,50,0.8279207516339869,0.807,0.8175020718621012,0.8006103574330903,0.8,0.6833631484794276,0.9230769230769231,0.863568215892054,augmented_r1
rf_tree_growth,1,100,0.858251633986928,0.812,0.8230443208264014,0.8057796924347679,0.7991452991452992,0.6914893617021277,0.9328859060402684,0.8686567164179104,augmented_r1
rf_tree_growth,1,200,0.867953431372549,0.806,0.8139674274566362,0.7986580454311317,0.7905982905982906,0.6834532374100719,0.9114754098360656,0.8703427719821163,augmented_r1
rf_tree_growth,1,300,0.8758169934640523,0.806,0.814913246574612,0.7986109957494347,0.7931769722814499,0.6810810810810811,0.9180327868852459,0.8673621460506706,augmented_r1
rf_tree_growth,1,400,0.8775531045751634,0.8,0.8085467838626275,0.7921745602544185,0.776824034334764,0.6762589928057554,0.9150326797385621,0.8660714285714286,augmented_r1
rf_tree_growth,1,500,0.8796977124183006,0.802,0.8104314714796756,0.7943544026786612,0.7792207792207793,0.6810035842293907,0.9150326797385621,0.8664688427299704,augmented_r1
