n_estimators mean sd half_ci ci_low ci_high n
25 77.10580 0.33880 0.20999 76.89581 77.31579 10
50 82.22324 0.29252 0.18131 82.04194 82.40455 10
100 85.18791 0.22272 0.13804 85.04987 85.32595 10
200 86.59314 0.17960 0.11132 86.48182 86.70446 10
300 87.15788 0.18168 0.11261 87.04528 87.27049 10
400 87.47038 0.15662 0.09708 87.37331 87.56746 10
500 87.65319 0.17491 0.10841 87.54478 87.76160 10
