n_estimators mean ci_low ci_high
25.0000 80.09785 79.93158 80.26413
28.9583 81.29817 81.12559 81.47075
32.9167 82.25103 82.07524 82.42681
36.8750 83.02636 82.84938 83.20333
40.8333 83.66967 83.49283 83.84650
44.7917 84.21195 84.03616 84.38774
48.7500 84.67511 84.50099 84.84923
52.7083 85.07508 84.90306 85.24710
56.6667 85.42377 85.25414 85.59340
60.6250 85.73025 85.56321 85.89730
64.5833 86.00157 85.83724 86.16590
68.5417 86.24329 86.08175 86.40483
72.5000 86.45986 86.30114 86.61857
76.4583 86.65487 86.49900 86.81075
80.4167 86.83129 86.67825 86.98433
84.3750 86.99154 86.84131 87.14178
88.3333 87.13767 86.99020 87.28513
92.2917 87.27137 87.12664 87.41611
96.2500 87.39411 87.25205 87.53617
100.2083 87.50711 87.36768 87.64654
104.1667 87.61144 87.47458 87.74831
108.1250 87.70801 87.57366 87.84237
112.0833 87.79762 87.66572 87.92952
116.0417 87.88095 87.75144 88.01046
120.0000 87.95861 87.83143 88.08579
123.9583 88.03113 87.90623 88.15604
127.9167 88.09898 87.97629 88.22168
131.8750 88.16258 88.04205 88.28312
135.8333 88.22230 88.10386 88.34074
139.7917 88.27846 88.16207 88.39486
143.7500 88.33137 88.21696 88.44578
147.7083 88.38127 88.26880 88.49375
151.6667 88.42842 88.31783 88.53902
155.6250 88.47303 88.36427 88.58180
159.5833 88.51529 88.40830 88.62228
163.5417 88.55537 88.45012 88.66063
167.5000 88.59344 88.48987 88.69701
171.4583 88.62964 88.52771 88.73157
175.4167 88.66410 88.56376 88.76444
179.3750 88.69695 88.59816 88.79574
183.3333 88.72829 88.63100 88.82557
187.2917 88.75822 88.66240 88.85403
191.2500 88.78684 88.69245 88.88122
195.2083 88.81423 88.72123 88.90723
199.1667 88.84048 88.74883 88.93212
203.1250 88.86565 88.77531 88.95598
207.0833 88.88981 88.80075 88.97886
211.0417 88.91302 88.82521 89.00083
215.0000 88.93535 88.84874 89.02195
218.9583 88.95683 88.87141 89.04226
222.9167 88.97754 88.89326 89.06182
226.8750 88.99750 88.91433 89.08066
230.8333 89.01676 88.93468 89.09884
234.7917 89.03537 88.95434 89.11640
238.7500 89.05335 88.97335 89.13335
242.7083 89.07075 88.99174 89.14975
246.6667 89.08759 89.00956 89.16563
250.6250 89.10391 89.02682 89.18100
254.5833 89.11974 89.04356 89.19591
258.5417 89.13509 89.05981 89.21037
262.5000 89.15000 89.07559 89.22441
266.4583 89.16449 89.09092 89.23806
270.4167 89.17858 89.10584 89.25133
274.3750 89.19229 89.12035 89.26424
278.3333 89.20564 89.13448 89.27681
282.2917 89.21866 89.14824 89.28907
286.2500 89.23134 89.16166 89.30102
290.2083 89.24372 89.17476 89.31269
294.1667 89.25581 89.18754 89.32408
298.1250 89.26762 89.20002 89.33522
302.0833 89.27916 89.21222 89.34611
306.0417 89.29046 89.22415 89.35676
310.0000 89.30151 89.23582 89.36720
313.9583 89.31233 89.24724 89.37742
317.9167 89.32294 89.25843 89.38745
321.8750 89.33334 89.26939 89.39728
325.8333 89.34354 89.28015 89.40693
329.7917 89.35355 89.29069 89.41642
333.7500 89.36339 89.30104 89.42573
337.7083 89.37305 89.31121 89.43489
341.6667 89.38255 89.32119 89.44391
345.6250 89.39189 89.33101 89.45278
349.5833 89.40109 89.34066 89.46152
353.5417 89.41014 89.35015 89.47013
357.5000 89.41906 89.35950 89.47862
361.4583 89.42784 89.36870 89.48699
365.4167 89.43651 89.37776 89.49525
369.3750 89.44505 89.38670 89.50341
373.3333 89.45348 89.39550 89.51146
377.2917 89.46181 89.40419 89.51942
381.2500 89.47003 89.41276 89.52729
385.2083 89.47815 89.42122 89.53507
389.1667 89.48617 89.42958 89.54277
393.1250 89.49411 89.43783 89.55039
397.0833 89.50196 89.44598 89.55794
401.0417 89.50973 89.45404 89.56542
405.0000 89.51742 89.46201 89.57282
408.9583 89.52503 89.46990 89.58016
412.9167 89.53257 89.47770 89.58744
416.8750 89.54004 89.48542 89.59466
420.8333 89.54745 89.49307 89.60183
424.7917 89.55479 89.50064 89.60894
428.7500 89.56207 89.50815 89.61600
432.7083 89.56930 89.51558 89.62301
436.6667 89.57646 89.52295 89.62998
440.6250 89.58358 89.53026 89.63690
444.5833 89.59064 89.53751 89.64378
448.5417 89.59766 89.54470 89.65062
452.5000 89.60463 89.55184 89.65742
456.4583 89.61155 89.55892 89.66418
460.4167 89.61843 89.56595 89.67092
464.3750 89.62528 89.57294 89.67762
468.3333 89.63208 89.57987 89.68428
472.2917 89.63884 89.58677 89.69092
476.2500 89.64558 89.59361 89.69754
480.2083 89.65227 89.60042 89.70412
484.1667 89.65893 89.60719 89.71068
488.1250 89.66557 89.61392 89.71722
492.0833 89.67217 89.62061 89.72373
496.0417 89.67875 89.62727 89.73022
500.0000 89.68529 89.63389 89.73670
