n_estimators mean sd half_ci ci_low ci_high n
25 80.09055 0.26056 0.16150 79.92905 80.25205 10
50 84.83115 0.30992 0.19209 84.63906 85.02325 10
100 87.48298 0.18295 0.11339 87.36959 87.59637 10
200 88.82217 0.16741 0.10376 88.71841 88.92593 10
300 89.30079 0.12133 0.07520 89.22559 89.37599 10
400 89.52955 0.07712 0.04780 89.48175 89.57735 10
500 89.66163 0.08297 0.05142 89.61021 89.71305 10
