n_estimators mean sd half_ci ci_low ci_high n
25 78.14542 0.37203 0.23059 77.91484 78.37601 10
50 82.86560 0.36285 0.22490 82.64071 83.09050 10
100 85.55249 0.17721 0.10984 85.44265 85.66233 10
200 87.04861 0.17759 0.11007 86.93854 87.15868 10
300 87.57149 0.15858 0.09829 87.47320 87.66977 10
400 87.83905 0.18488 0.11459 87.72446 87.95364 10
500 87.91360 0.09125 0.05656 87.85705 87.97016 10
