n_estimators mean sd half_ci ci_low ci_high n
25 80.91367 0.30865 0.19130 80.72237 81.10497 10
50 85.56168 0.23438 0.14527 85.41641 85.70695 10
100 87.98135 0.12213 0.07570 87.90565 88.05704 10
200 89.30556 0.19532 0.12106 89.18449 89.42662 10
300 89.70452 0.15957 0.09890 89.60562 89.80342 10
400 89.94894 0.20543 0.12733 89.82161 90.07627 10
500 90.11983 0.15491 0.09602 90.02381 90.21584 10
