experiment seed epoch real_epoch tr_loss vl_loss vl_tumour vl_plane learning_rate patience_counter best_epoch best_val_loss
augmented_r1 0 1 1.0 1.7621480007362107 1.942985670907157 0.5336734693877551 0.6071428571428571 0.001 0 1 1.942985670907157
augmented_r1 0 2 2.0 1.0987204487519648 2.607126697228879 0.4489795918367347 0.6428571428571429 0.001 1 1 1.942985670907157
augmented_r1 0 3 3.0 0.8824010717560365 1.4819768988356299 0.6030612244897959 0.9316326530612244 0.001 0 3 1.4819768988356299
augmented_r1 0 4 4.0 0.7528448021796093 1.1677591557405433 0.8040816326530612 0.9163265306122449 0.001 0 4 1.1677591557405433
augmented_r1 0 5 5.0 0.6854360280283678 1.9453719820295061 0.6622448979591836 0.6887755102040817 0.001 1 4 1.1677591557405433
augmented_r1 0 6 6.0 0.5799843656762427 1.791881731578282 0.5275510204081633 0.9387755102040817 0.001 2 4 1.1677591557405433
augmented_r1 0 7 7.0 0.5167959523211811 1.1476438935922118 0.7295918367346939 0.9081632653061225 0.001 0 7 1.1476438935922118
augmented_r1 0 8 8.0 0.46195939605310726 1.1499369922949343 0.7204081632653061 0.9836734693877551 0.001 1 7 1.1476438935922118
augmented_r1 0 9 9.0 0.4214273532087349 1.7185522410334373 0.7948979591836735 0.6928571428571428 0.001 2 7 1.1476438935922118
augmented_r1 0 10 10.0 0.35694471627974367 0.6529882645120426 0.8877551020408163 0.9673469387755103 0.001 0 10 0.6529882645120426
augmented_r1 0 11 11.0 0.3019606461456782 0.6515016173829837 0.860204081632653 0.9836734693877551 0.001 0 11 0.6515016173829837
augmented_r1 0 12 12.0 0.2923441220293032 0.7250122296566865 0.8714285714285714 0.9224489795918367 0.001 1 11 0.6515016173829837
augmented_r1 0 13 13.0 0.26270314140640166 0.8711749018455038 0.8183673469387756 0.9316326530612244 0.001 2 11 0.6515016173829837
augmented_r1 0 14 14.0 0.19576112725114583 1.8439338124528224 0.536734693877551 0.9693877551020408 0.001 3 11 0.6515016173829837
augmented_r1 0 15 15.0 0.17960630786781467 0.5613294696321293 0.8591836734693877 0.9806122448979592 0.001 0 15 0.5613294696321293
augmented_r1 0 16 16.0 0.14810739919590615 1.9635265155714385 0.5693877551020409 0.9795918367346939 0.001 1 15 0.5613294696321293
augmented_r1 0 17 17.0 0.1135528481553156 0.9948964469286861 0.7836734693877551 0.9806122448979592 0.001 2 15 0.5613294696321293
augmented_r1 0 18 18.0 0.0817022134215519 0.2009115683789156 0.9561224489795919 0.9897959183673469 0.001 0 18 0.2009115683789156
augmented_r1 0 19 19.0 0.02975257372131036 0.8052219996646959 0.7989795918367347 0.9663265306122449 0.001 1 18 0.2009115683789156
augmented_r1 0 20 20.0 -0.006117655589155214 0.8886995215805209 0.8153061224489796 0.9193877551020408 0.001 2 18 0.2009115683789156
augmented_r1 0 21 21.0 0.04419720473205074 2.1633671877335527 0.7418367346938776 0.6234693877551021 0.001 3 18 0.2009115683789156
augmented_r1 0 22 22.0 0.04281059869354117 2.8772072110857283 0.5551020408163265 0.7836734693877551 0.001 4 18 0.2009115683789156
augmented_r1 0 23 23.0 0.009829904131601466 1.33490039183169 0.6285714285714286 0.9571428571428572 0.001 5 18 0.2009115683789156
augmented_r1 0 24 24.0 -0.03733758286784791 2.052873719468409 0.7244897959183674 0.8397959183673469 0.001 6 18 0.2009115683789156
augmented_r1 0 25 25.0 -0.052995378084741175 0.3603073232027949 0.9193877551020408 0.9724489795918367 0.001 7 18 0.2009115683789156
augmented_r1 0 26 26.0 -0.08889270277928073 0.2524257745061602 0.9285714285714286 0.9775510204081632 0.001 8 18 0.2009115683789156
augmented_r1 0 27 27.0 -0.07391224760279783 0.6617233658323483 0.8887755102040816 0.926530612244898 0.001 9 18 0.2009115683789156
augmented_r1 0 28 28.0 -0.08390988740280332 1.2485083190762267 0.7040816326530612 0.986734693877551 0.001 10 18 0.2009115683789156
augmented_r1 0 29 29.0 -0.12275241936979324 1.709374342159349 0.6204081632653061 0.9857142857142858 0.0005 11 18 0.2009115683789156
augmented_r1 0 30 30.0 -0.15791091013106226 -0.0267416280143115 0.9744897959183674 0.9938775510204082 0.0005 0 30 -0.0267416280143115
augmented_r1 0 31 31.0 -0.17318801943735268 0.04555651995600486 0.9540816326530612 0.9928571428571429 0.0005 1 30 -0.0267416280143115
augmented_r1 0 32 32.0 -0.17984170146384565 -0.07182144388860585 0.986734693877551 0.9928571428571429 0.0005 0 32 -0.07182144388860585
augmented_r1 0 33 33.0 -0.18483537446354067 -0.05671583243778774 0.9846938775510204 0.9928571428571429 0.0005 1 32 -0.07182144388860585
augmented_r1 0 34 34.0 -0.18862522462796363 -0.07740645773556767 0.9877551020408163 0.9908163265306122 0.0005 0 34 -0.07740645773556767
augmented_r1 0 35 35.0 -0.19351921901884697 -0.07041851379433457 0.9857142857142858 0.9918367346938776 0.0005 1 34 -0.07740645773556767
augmented_r1 0 36 36.0 -0.19761801445099964 -0.05040058943690086 0.9836734693877551 0.9897959183673469 0.0005 2 34 -0.07740645773556767
augmented_r1 0 37 37.0 -0.19993988506046145 -0.0031659398760114396 0.9755102040816327 0.9877551020408163 0.0005 3 34 -0.07740645773556767
augmented_r1 0 38 38.0 -0.2006012353094069 -0.043618900435311456 0.9755102040816327 0.9928571428571429 0.0005 4 34 -0.07740645773556767
augmented_r1 0 39 39.0 -0.20720006155523993 0.09562372918031653 0.9489795918367347 0.9928571428571429 0.0005 5 34 -0.07740645773556767
augmented_r1 0 40 40.0 -0.20776968350261113 0.468362647173356 0.9846938775510204 0.8846938775510204 0.0005 6 34 -0.07740645773556767
augmented_r1 0 41 41.0 -0.210559424789072 0.012149686229472257 0.9673469387755103 0.9908163265306122 0.0005 7 34 -0.07740645773556767
augmented_r1 0 42 42.0 -0.21306830815061134 -0.03035656481373067 0.9816326530612245 0.9877551020408163 0.0005 8 34 -0.07740645773556767
augmented_r1 0 43 43.0 -0.21443815649069822 -0.012127276829310826 0.9642857142857143 0.9908163265306122 0.0005 9 34 -0.07740645773556767
augmented_r1 0 44 44.0 -0.14767845365279272 1.2692590640515697 0.7510204081632653 0.9663265306122449 0.0005 10 34 -0.07740645773556767
augmented_r1 0 45 45.0 -0.15168303535355798 1.411829584958602 0.8979591836734694 0.8122448979591836 0.00025 11 34 -0.07740645773556767
augmented_r1 0 46 46.0 -0.20189271284892132 0.12939247160541767 0.9224489795918367 0.9908163265306122 0.00025 12 34 -0.07740645773556767
augmented_r1 0 47 47.0 -0.22143034963677052 -0.07053596778791778 0.9785714285714285 0.9918367346938776 0.00025 13 34 -0.07740645773556767
augmented_r1 0 48 48.0 -0.22645283922302795 -0.09316791368990528 0.9744897959183674 0.9928571428571429 0.00025 0 48 -0.09316791368990528
augmented_r1 0 49 49.0 -0.22534761318444016 -0.08672377844246067 0.9785714285714285 0.9928571428571429 0.00025 1 48 -0.09316791368990528
augmented_r1 0 50 50.0 -0.22891898873281977 -0.06480098038303608 0.9755102040816327 0.9928571428571429 0.00025 2 48 -0.09316791368990528
augmented_r1 0 51 51.0 -0.23179082249815877 -0.09733480725969587 0.9816326530612245 0.9928571428571429 0.00025 0 51 -0.09733480725969587
augmented_r1 0 52 52.0 -0.23219713551100957 -0.09435114057696596 0.9755102040816327 0.9928571428571429 0.00025 1 51 -0.09733480725969587
augmented_r1 0 53 53.0 -0.23323434696812226 -0.04174096511334789 0.9704081632653061 0.9928571428571429 0.00025 2 51 -0.09733480725969587
augmented_r1 0 54 54.0 -0.23453744005410174 -0.0980125008797159 0.9775510204081632 0.9928571428571429 0.00025 0 54 -0.0980125008797159
augmented_r1 0 55 55.0 -0.2336949951476635 -0.08928936865864968 0.9775510204081632 0.9928571428571429 0.00025 1 54 -0.0980125008797159
augmented_r1 0 56 56.0 -0.23624735902884955 -0.09190183415704845 0.9755102040816327 0.9938775510204082 0.00025 2 54 -0.0980125008797159
augmented_r1 0 57 57.0 -0.23733672070817086 -0.05800878612362609 0.9744897959183674 0.9908163265306122 0.00025 3 54 -0.0980125008797159
augmented_r1 0 58 58.0 -0.23608111972652995 -0.10514258462555555 0.9816326530612245 0.9938775510204082 0.00025 0 58 -0.10514258462555555
augmented_r1 0 59 59.0 -0.23826316833712544 -0.0904652661206771 0.9775510204081632 0.9928571428571429 0.00025 1 58 -0.10514258462555555
augmented_r1 0 60 60.0 -0.23841767851136458 -0.09183117613500479 0.9785714285714285 0.9928571428571429 0.00025 2 58 -0.10514258462555555
augmented_r1 0 61 61.0 -0.2392069220651132 -0.10031432643228648 0.9795918367346939 0.9948979591836735 0.00025 3 58 -0.10514258462555555
augmented_r1 0 62 62.0 -0.23797123293090938 -0.09839000191007341 0.9816326530612245 0.9938775510204082 0.00025 4 58 -0.10514258462555555
augmented_r1 0 63 63.0 -0.24129180046736085 -0.09235925260855227 0.9816326530612245 0.9918367346938776 0.00025 5 58 -0.10514258462555555
augmented_r1 0 64 64.0 -0.2416493586935458 -0.09104667074826299 0.9795918367346939 0.9928571428571429 0.00025 6 58 -0.10514258462555555
augmented_r1 0 65 65.0 -0.23994225371820083 -0.09693087679999216 0.9785714285714285 0.9918367346938776 0.00025 7 58 -0.10514258462555555
augmented_r1 0 66 66.0 -0.24049257379848743 -0.10931646921196762 0.9795918367346939 0.9948979591836735 0.00025 0 66 -0.10931646921196762
augmented_r1 0 67 67.0 -0.24005922143479883 -0.009703301896854323 0.9642857142857143 0.9928571428571429 0.00025 1 66 -0.10931646921196762
augmented_r1 0 68 68.0 -0.24409381606283373 -0.10330835897095349 0.9826530612244898 0.9928571428571429 0.00025 2 66 -0.10931646921196762
augmented_r1 0 69 69.0 -0.24299075348616403 -0.08604193025705766 0.9795918367346939 0.9908163265306122 0.00025 3 66 -0.10931646921196762
augmented_r1 0 70 70.0 -0.2443414243091197 -0.055946740812184856 0.9755102040816327 0.9918367346938776 0.00025 4 66 -0.10931646921196762
augmented_r1 0 71 71.0 -0.16902742919411054 1.4525357134488164 0.813265306122449 0.9122448979591836 0.00025 5 66 -0.10931646921196762
augmented_r1 0 72 72.0 -0.15201192074237604 0.3230989597281631 0.9530612244897959 0.9438775510204082 0.00025 6 66 -0.10931646921196762
augmented_r1 0 73 73.0 -0.20599313608581674 0.07959988457815988 0.9561224489795919 0.9918367346938776 0.00025 7 66 -0.10931646921196762
augmented_r1 0 74 74.0 -0.23371257968128567 -0.04199765798996906 0.9724489795918367 0.9928571428571429 0.00025 8 66 -0.10931646921196762
