epoch tr_q1 tr_median tr_q3 vl_q1 vl_median vl_q3 vl_tumour_q1 vl_tumour_median vl_tumour_q3 n
61 -0.242598 -0.239033 -0.228437 -0.088676 -0.065060 -0.036188 97.066327 97.653061 97.959184 10
62 -0.241557 -0.238293 -0.236210 -0.093049 -0.069547 -0.049248 96.938776 97.500000 98.035714 10
63 -0.242956 -0.241371 -0.237704 -0.092134 -0.071039 -0.029255 97.346939 97.500000 98.137755 10
64 -0.242904 -0.241205 -0.239278 -0.083277 -0.059249 -0.002064 96.198980 97.040816 97.857143 10
65 -0.242096 -0.240369 -0.228191 -0.062481 -0.050523 -0.003954 96.173469 97.500000 97.857143 10
66 -0.242588 -0.239519 -0.216140 -0.096316 -0.062003 0.012992 96.326531 97.704082 97.959184 10
67 -0.242143 -0.240808 -0.218248 -0.073815 -0.052373 -0.013651 96.556122 97.193878 97.423469 10
68 -0.244051 -0.242592 -0.224673 -0.097003 -0.069367 0.006926 96.301020 97.295918 98.214286 10
69 -0.245451 -0.242906 -0.231268 -0.084927 -0.062359 -0.009508 96.760204 97.244898 97.882653 10
70 -0.246347 -0.244437 -0.237527 -0.084489 -0.057933 -0.048150 96.760204 97.295918 98.061224 10
71 -0.247282 -0.244749 -0.237909 -0.093756 -0.064048 -0.035084 97.040816 97.346939 97.908163 10
72 -0.246936 -0.245177 -0.241141 -0.099222 -0.068272 -0.053559 97.321429 97.653061 97.933673 10
73 -0.247837 -0.245514 -0.241456 -0.096047 -0.085565 -0.048925 96.887755 97.755102 98.163265 10
74 -0.248411 -0.245476 -0.238740 -0.092195 -0.063958 -0.048652 97.168367 97.500000 98.061224 10
75 -0.248347 -0.246716 -0.240126 -0.104177 -0.077171 -0.063949 97.270408 97.704082 98.239796 10
76 -0.248341 -0.247461 -0.241253 -0.092996 -0.078421 -0.058865 97.270408 97.806122 98.035714 10
77 -0.248509 -0.247133 -0.243007 -0.102419 -0.071881 -0.045745 97.066327 97.346939 98.035714 10
78 -0.249096 -0.246563 -0.244759 -0.098474 -0.068019 -0.058152 97.244898 97.755102 98.418367 10
79 -0.248864 -0.247778 -0.246276 -0.100407 -0.066639 -0.049632 97.244898 97.806122 98.316327 10
80 -0.248965 -0.248093 -0.246429 -0.101400 -0.090503 -0.061230 97.193878 97.908163 98.137755 10
81 -0.248869 -0.247500 -0.245147 -0.111532 -0.094254 -0.058333 97.346939 98.061224 98.265306 9
82 -0.249646 -0.248192 -0.242172 -0.101884 -0.083398 -0.044374 97.448980 97.857143 98.061224 9
83 -0.248988 -0.247794 -0.243701 -0.103032 -0.070639 -0.036682 97.142857 97.857143 98.061224 9
