kimg	fid	precision	recall
337.5	51.490895	0.308982801	0.0628460182
340	51.4568485	0.309468782	0.0636541191
342.5	51.4264292	0.310349049	0.0647207367
345	51.3992452	0.311576657	0.0660104037
347.5	51.3749058	0.313104659	0.067487653
350	51.3530216	0.314886109	0.0691170172
352.5	51.3332044	0.316874061	0.0708630293
355	51.3150666	0.319021569	0.0726902218
357.5	51.2982216	0.321281687	0.0745631277
360	51.2822832	0.32360747	0.0764462797
362.5	51.266866	0.32595197	0.0783042105
365	51.2515848	0.328268243	0.080101453
367.5	51.2360552	0.330509341	0.0818025399
370	51.2198929	0.33262832	0.083372004
372.5	51.2027144	0.334578232	0.084774378
375	51.1841366	0.336312133	0.0859741948
377.5	51.163777	0.337783075	0.0869359872
380	51.1412542	0.338944114	0.0876242878
382.5	51.1161873	0.339748303	0.0880036294
385	51.0878969	0.340182808	0.0880499412
387.5	51.0536491	0.34053132	0.0878526237
390	51.013596	0.34086709	0.0874578282
392.5	50.9686404	0.34118939	0.0868896373
395	50.9196839	0.341497491	0.0861721338
397.5	50.8676256	0.341790664	0.0853294003
400	50.8133618	0.342068179	0.0843855195
402.5	50.7577852	0.342329309	0.0833645741
405	50.7017851	0.342573324	0.0822906468
407.5	50.6462465	0.342799495	0.0811878203
410	50.5920509	0.343007094	0.0800801773
412.5	50.5400759	0.343195393	0.0789918004
415	50.4911958	0.343363661	0.0779467723
417.5	50.4462819	0.34351117	0.0769691757
420	50.4062032	0.343637192	0.0760830934
422.5	50.3718271	0.343740997	0.075312608
425	50.3440205	0.343821857	0.0746818021
427.5	50.3236504	0.343879043	0.0742147586
430	50.3115859	0.343911826	0.0739355599
432.5	50.3088478	0.343916741	0.0738654697
435	50.320588	0.343805512	0.0739274425
437.5	50.3476677	0.343543836	0.0740703331
440	50.3882842	0.343142409	0.0742845085
442.5	50.4406407	0.342611925	0.0745603357
445	50.5029419	0.341963079	0.0748881814
447.5	50.5733903	0.341206564	0.0752584127
450	50.6501825	0.340353076	0.0756613964
452.5	50.7315072	0.339413308	0.0760874995
455	50.8155427	0.338397954	0.076527089
457.5	50.9004559	0.337317711	0.0769705316
460	50.9844014	0.33618327	0.0774081944
462.5	51.0655219	0.335005328	0.0778304443
465	51.1419485	0.333794578	0.0782276482
467.5	51.2118022	0.332561715	0.078590173
470	51.2731962	0.331317434	0.0789083857
472.5	51.3242383	0.330072428	0.0791726531
475	51.3630345	0.328837391	0.0793733422
477.5	51.387693	0.32762302	0.0795008199
480	51.3963294	0.326440006	0.0795454532
482.5	51.3817968	0.325151102	0.0792999704
485	51.3400856	0.323634292	0.0785988431
487.5	51.2740511	0.321923124	0.0774950534
490	51.1865718	0.320051149	0.0760415831
492.5	51.0805364	0.318051914	0.0742914141
495	50.958833	0.315958968	0.0722975284
497.5	50.8243395	0.31380586	0.0701129078
500	50.6799155	0.311626138	0.0677905342
