kimg	fid	precision	recall
360	55.1322206	0.292242055	0.0190329219
362.5	55.6128651	0.28870791	0.0181193248
365	56.0819384	0.285123339	0.0172120071
367.5	56.529675	0.281542345	0.0163284114
370	56.9460298	0.278018928	0.0154859802
372.5	57.3207242	0.274607093	0.0147021561
375	57.6433092	0.271360839	0.0139943818
377.5	57.9032479	0.268334171	0.0133800998
380	58.0900155	0.26558109	0.0128767528
382.5	58.1932177	0.263155598	0.0125017834
385	58.2103584	0.261076214	0.0122603099
387.5	58.2055941	0.259054405	0.0120503056
390	58.1960628	0.257023122	0.0118457435
392.5	58.182348	0.254992525	0.0116473211
395	58.1650338	0.252972773	0.0114557362
397.5	58.1447042	0.250974025	0.0112716865
400	58.121943	0.24900644	0.0110958698
402.5	58.0973335	0.247080176	0.0109289836
405	58.0714582	0.245205393	0.0107717258
407.5	58.0448985	0.243392249	0.010624794
410	58.0182351	0.241650904	0.0104888859
412.5	57.9920473	0.239991516	0.0103646992
415	57.9669137	0.238424245	0.0102529317
417.5	57.9434118	0.236959248	0.010154281
420	57.9221181	0.235606686	0.0100694449
422.5	57.9036088	0.234376717	0.00999912095
425	57.8884593	0.2332795	0.00994400698
427.5	57.8772454	0.232325194	0.00990480067
430	57.8705427	0.231523958	0.00988219971
432.5	57.8706784	0.230883955	0.00987698833
435	57.9335499	0.230345228	0.00989221688
437.5	58.0787732	0.229870092	0.00992809747
440	58.297127	0.22945089	0.00998323469
442.5	58.579545	0.229079959	0.0100562331
445	58.9170048	0.228749642	0.0101456974
447.5	59.3004309	0.228452278	0.0102502321
450	59.7206134	0.228180206	0.0103684417
452.5	60.1681409	0.227925768	0.010498931
455	60.6333475	0.227681302	0.0106403044
457.5	61.1062763	0.22743915	0.0107911666
460	61.5766578	0.227191652	0.0109501222
462.5	62.0339057	0.226931146	0.0111157758
465	62.4671304	0.226649975	0.0112867319
467.5	62.8651714	0.226340476	0.0114615951
470	63.2166488	0.225994992	0.0116389701
472.5	63.5100348	0.225605861	0.0118174613
475	63.7337464	0.225165425	0.0119956736
477.5	63.8762571	0.224666022	0.0121722113
480	63.926229	0.224099994	0.0123456791
482.5	63.9039705	0.223325191	0.0125385431
485	63.8404401	0.222228274	0.0127704785
487.5	63.7405518	0.220844798	0.0130359037
490	63.6092573	0.219210317	0.0133292371
492.5	63.4515202	0.217360386	0.013644897
495	63.2722944	0.215330559	0.0139773018
497.5	63.076505	0.21315639	0.0143208699
500	62.8690342	0.210873435	0.0146700196
502.5	62.6547106	0.208517248	0.0150191693
505	62.4383018	0.206123383	0.0153627373
507.5	62.2245111	0.203727395	0.0156951421
510	62.0179782	0.201364838	0.016010802
512.5	61.823282	0.199071267	0.0163041354
515	61.6449485	0.196882235	0.0165695606
517.5	61.4874608	0.194833299	0.016801496
520	61.355273	0.192960012	0.01699436
522.5	61.2528273	0.191297928	0.017142571
525	61.1845742	0.189882603	0.0172405472
527.5	61.1549959	0.18874959	0.0172827072
530	61.1720743	0.187851549	0.0172769246
532.5	61.2418192	0.187030041	0.0172491374
535	61.3586663	0.186273095	0.0172015353
537.5	61.5168383	0.185573637	0.0171355139
540	61.7105876	0.184924592	0.0170524686
542.5	61.9341598	0.184318885	0.0169537946
545	62.1817624	0.183749443	0.0168408875
547.5	62.4475386	0.18320919	0.0167151426
550	62.7255472	0.182691053	0.0165779554
552.5	63.0097478	0.182187956	0.0164307212
555	63.2939918	0.181692826	0.0162748356
557.5	63.5720196	0.181198588	0.0161116938
560	63.8374632	0.180698167	0.0159426912
562.5	64.0838561	0.180184489	0.0157692234
565	64.3046487	0.179650479	0.0155926857
567.5	64.4932311	0.179089063	0.0154144735
570	64.6429617	0.178493167	0.0152359822
572.5	64.7472036	0.177855716	0.0150586072
575	64.7993663	0.177169635	0.014883744
577.5	64.8016652	0.176429692	0.0147072118
580	64.7868748	0.175641425	0.0145080778
582.5	64.7601571	0.174810088	0.0142866173
585	64.7230173	0.17394043	0.014045621
587.5	64.6769625	0.173037201	0.0137878799
590	64.6234998	0.17210515	0.0135161846
592.5	64.5641344	0.171149029	0.0132333261
595	64.5003677	0.170173586	0.0129420952
597.5	64.4336966	0.169183571	0.0126452826
600	64.3656123	0.168183734	0.0123456792
602.5	64.2976	0.167178824	0.0120460758
605	64.2311384	0.166173593	0.0117492632
607.5	64.1677007	0.165172788	0.0114580323
610	64.1087539	0.164181161	0.0111751738
612.5	64.055761	0.16320346	0.0109034785
615	64.010181	0.162244437	0.0106457373
617.5	63.9734713	0.161308839	0.010404741
620	63.947089	0.160401418	0.0101832804
622.5	63.9324937	0.159526923	0.00998414638
625	63.9317999	0.158681958	0.0098076142
627.5	63.951586	0.157797955	0.00963275092
630	63.9921767	0.156867203	0.0094553759
632.5	64.0522824	0.155900694	0.00927688455
635	64.1306273	0.154909419	0.00909867228
637.5	64.2259453	0.153904371	0.00892213449
640	64.3369767	0.152896541	0.00874866661
642.5	64.4624646	0.151896922	0.00857966402
645	64.6011525	0.150916506	0.00841652215
647.5	64.7517806	0.149966284	0.00826063641
650	64.9130839	0.149057248	0.00811340219
652.5	65.0837898	0.148200391	0.00797621492
655	65.2626161	0.147406704	0.00785046999
657.5	65.4482689	0.146687179	0.00773756283
660	65.6394416	0.146052809	0.00763888883
662.5	65.8348132	0.145514585	0.00755584341
665	66.0330475	0.145083499	0.00748982197
667.5	66.2327924	0.144770543	0.00744221993
670	66.4326795	0.144586709	0.00741443269
672.5	66.6326127	0.14454418	0.00740740728
675	66.872404	0.144685319	0.00740740728
677.5	67.1663442	0.145010744	0.00740740728
680	67.5075155	0.145498516	0.00740740728
682.5	67.8889569	0.146126696	0.00740740728
685	68.3036168	0.146873345	0.00740740728
687.5	68.7443133	0.147716524	0.00740740728
690	69.2037016	0.148634295	0.00740740728
692.5	69.6742493	0.14960472	0.00740740728
695	70.1482201	0.150605858	0.00740740728
697.5	70.6176655	0.151615772	0.00740740728
700	71.0744252	0.152612523	0.00740740728
702.5	71.5101374	0.153574172	0.00740740728
705	71.9162584	0.15447878	0.00740740728
707.5	72.2840916	0.155304408	0.00740740728
710	72.604828	0.156029118	0.00740740728
712.5	72.8695959	0.156630972	0.00740740728
715	73.0695221	0.157088029	0.00740740728
717.5	73.1958021	0.157378352	0.00740740728
720	73.2397818	0.157480001	0.00740740728
722.5	73.2022076	0.157266943	0.0074655958
725	73.0949973	0.156653681	0.00763178892
727.5	72.9265335	0.155679081	0.00789342796
730	72.7052924	0.154382011	0.00823795424
732.5	72.4397796	0.152801339	0.00865280911
735	72.1384747	0.150975931	0.00912543387
737.5	71.8097856	0.148944655	0.00964326985
740	71.4620128	0.146746378	0.0101937584
742.5	71.1033232	0.144419968	0.0107643408
745	70.7417328	0.142004292	0.0113424584
747.5	70.3850994	0.139538216	0.0119155526
750	70.0411233	0.137060609	0.0124710646
752.5	69.7173574	0.134610338	0.0129964358
755	69.4212249	0.132226269	0.0134791075
757.5	69.160045	0.129947271	0.013906521
760	68.9410673	0.12781221	0.0142661177
762.5	68.7715128	0.125859953	0.0145453389
765	68.6586238	0.124129369	0.0147316259
767.5	68.6097205	0.122659325	0.01481242
770	68.6571844	0.12138308	0.0147523003
772.5	68.8473794	0.120104525	0.0145096388
775	69.1667163	0.118824358	0.0141037145
777.5	69.6003767	0.117549664	0.0135554587
780	70.1337531	0.116287528	0.0128858023
782.5	70.7522079	0.115045036	0.0121156765
785	71.440866	0.113829273	0.0112660124
787.5	72.1844397	0.112647324	0.0103577412
790	72.9670863	0.111506275	0.00941179403
792.5	73.7722999	0.110413211	0.00844910191
795	74.5828399	0.109375218	0.00749059602
797.5	75.3806976	0.108399381	0.00655720748
800	76.1471057	0.107492785	0.00566986741
802.5	76.862593	0.106662516	0.00484950694
805	77.5070868	0.10591566	0.00411705717
807.5	78.0600663	0.1052593	0.00349344925
810	78.5007685	0.104700524	0.00299961429
812.5	78.8084453	0.104246416	0.00265648342
815	78.9626729	0.103904062	0.00248498775
817.5	78.9717174	0.103663081	0.00247621901
820	78.9409163	0.103454663	0.00251771845
822.5	78.8848268	0.103268807	0.00259270769
825	78.8061474	0.103103017	0.00269700051
827.5	78.7075871	0.1029548	0.00282641067
830	78.591858	0.102821661	0.00297675196
832.5	78.4616693	0.102701105	0.00314383815
835	78.3197217	0.102590637	0.00332348302
837.5	78.1687031	0.102487762	0.00351150033
840	78.0112847	0.102389987	0.00370370387
842.5	77.850119	0.102294816	0.00389590741
845	77.6878376	0.102199755	0.00408392472
847.5	77.5270504	0.102102309	0.00426356959
850	77.370346	0.101999983	0.00443065578
852.5	77.2202924	0.101890284	0.00458099707
855	77.0794385	0.101770715	0.00471040723
857.5	76.9503175	0.101638783	0.00481470005
860	76.8354497	0.101491993	0.00488968929
862.5	76.7373469	0.10132785	0.00493118874
865	76.6566945	0.101145505	0.00493193109
867.5	76.5785174	0.100957934	0.00486333282
870	76.4994386	0.10076704	0.00472608046
872.5	76.4200671	0.100571071	0.00452854646
875	76.3410094	0.100368272	0.00427910327
877.5	76.2628696	0.100156889	0.00398612335
880	76.1862494	0.0999351697	0.00365797913
882.5	76.1117478	0.0997013589	0.00330304308
885	76.0399621	0.0994537031	0.00292968763
887.5	75.9714871	0.0991904486	0.00254628525
890	75.9069161	0.0989098415	0.00216120837
892.5	75.8468407	0.0986101279	0.00178282946
895	75.7918515	0.0982895541	0.00141952095
897.5	75.7425382	0.0979463661	0.00107965531
900	75.6994903	0.0975788102	0.000771604973
902.5	75.663297	0.0971851325	0.000503742396
905	75.6345485	0.0967635792	0.000284440028
907.5	75.6138361	0.0963123964	0.000122070318
910	75.6017527	0.0958298303	2.50057167e-05
912.5	75.6017079	0.0953092412	0
915	75.704478	0.0945926935	0
917.5	75.9459803	0.0936190699	0
920	76.3165276	0.0924076739	0
922.5	76.806915	0.0909778091	0
925	77.4082553	0.0893487791	0
927.5	78.1118274	0.0875398874	0
930	78.9089392	0.0855704375	0
932.5	79.7908009	0.0834597331	0
935	80.7484104	0.0812270776	0
937.5	81.7724486	0.0788917747	0
940	82.8531858	0.0764731278	0
942.5	83.9803994	0.0739904407	0
945	85.1433039	0.0714630167	0
947.5	86.3304941	0.0689101595	0
950	87.5299025	0.0663511726	0
952.5	88.7287734	0.0638053596	0
955	89.913655	0.0612920241	0
957.5	91.0704102	0.0588304695	0
960	92.1842496	0.0564399995	0
962.5	93.2903454	0.0540615846	0
965	94.4342541	0.0516245304	0
967.5	95.6163099	0.0491306428	0
970	96.8368537	0.0465817278	0
972.5	98.0962311	0.0439795915	0
975	99.3947921	0.0413260399	0
977.5	100.732888	0.0386228789	0
980	102.110873	0.0358719146	0
982.5	103.529098	0.0330749529	0
985	104.987914	0.0302338	0
987.5	106.487667	0.0273502616	0
990	108.028697	0.024426144	0
992.5	109.611339	0.021463253	0
995	111.235918	0.0184633947	0
997.5	112.902747	0.015428375	0
1000	114.612128	0.0123600001	0
