kimg	fid	precision	recall
357.5	39.4884229	0.523695252	0.0260047279
360	39.4567553	0.524735919	0.0260047279
362.5	39.4264997	0.525715911	0.0260047279
365	39.397171	0.526625909	0.0260047279
367.5	39.3682856	0.527456595	0.0260047279
370	39.3393615	0.528198649	0.0260047279
372.5	39.3099179	0.528842754	0.0260047279
375	39.2794756	0.52937959	0.0260047279
377.5	39.2475568	0.52979984	0.0260047279
380	39.2136856	0.530094185	0.0260047279
382.5	39.1773879	0.530253305	0.0260047279
385	39.1380924	0.530271237	0.0260290116
387.5	39.094796	0.530176499	0.0262917284
390	39.0479125	0.529986946	0.0268173758
392.5	38.9981473	0.529714141	0.027573889
395	38.9462033	0.529369646	0.0285292034
397.5	38.89278	0.528965025	0.0296512542
400	38.8385735	0.52851184	0.0309079768
402.5	38.784276	0.528021654	0.0322673065
405	38.7305758	0.52750603	0.0336971785
407.5	38.6781576	0.52697653	0.0351655281
410	38.6277023	0.526444718	0.0366402907
412.5	38.5798876	0.525922156	0.0380894015
415	38.5353881	0.525420407	0.0394807958
417.5	38.4948761	0.524951034	0.040782409
420	38.4590222	0.5245256	0.0419621763
422.5	38.4284958	0.524155667	0.0429880331
425	38.4039662	0.523852798	0.0438279145
427.5	38.3861038	0.523628557	0.044449756
430	38.3755807	0.523494505	0.0448214928
432.5	38.3729325	0.523482515	0.0449168336
435	38.374047	0.524243184	0.0449022531
437.5	38.3767056	0.525997059	0.0448678992
440	38.3808475	0.528625901	0.0448151082
442.5	38.3864123	0.532011471	0.0447452159
445	38.3933396	0.53603553	0.0446595585
447.5	38.4015692	0.540579839	0.044559472
450	38.4110407	0.545526161	0.0444462923
452.5	38.4216942	0.550756255	0.0443213556
455	38.4334694	0.556151884	0.0441859978
457.5	38.4463064	0.561594808	0.044041555
460	38.4601451	0.566966789	0.0438893633
462.5	38.4749254	0.572149588	0.0437307586
465	38.4905872	0.577024966	0.043567077
467.5	38.5070705	0.581474684	0.0433996545
470	38.5243151	0.585380505	0.0432298272
472.5	38.5422607	0.588624188	0.0430589311
475	38.5608471	0.591087495	0.0428883022
477.5	38.5800139	0.592652188	0.0427192765
480	38.5997006	0.593200028	0.0425531901
482.5	38.6270639	0.592908119	0.042368533
485	38.6681798	0.592074394	0.0421464671
487.5	38.7213714	0.590761854	0.0418923365
490	38.7849654	0.589033502	0.0416114854
492.5	38.8572862	0.586952338	0.0413092578
495	38.9366522	0.584581367	0.0409909979
497.5	39.0213723	0.581983588	0.0406620498
500	39.1097428	0.579222004	0.0403277576
502.5	39.2000462	0.576359617	0.0399934655
505	39.2905491	0.573459429	0.0396645174
507.5	39.3795023	0.570584442	0.0393462576
510	39.4651407	0.567797658	0.0390440301
512.5	39.5456849	0.565162078	0.0387631791
515	39.6193426	0.562740704	0.0385090487
517.5	39.6843114	0.560596539	0.038286983
520	39.7387826	0.558792584	0.038102326
522.5	39.7809452	0.557391842	0.037960422
525	39.8089911	0.556457314	0.037866615
527.5	39.821121	0.556052001	0.0378262491
530	39.8187688	0.556063934	0.0378609716
532.5	39.8081849	0.556158432	0.0380003729
535	39.7903512	0.556319874	0.0382335635
537.5	39.7660682	0.556543119	0.0385485191
540	39.7361381	0.556823025	0.0389332154
542.5	39.701363	0.557154451	0.0393756282
545	39.6625447	0.557532255	0.0398637332
547.5	39.6204829	0.557951298	0.0403855062
550	39.5759752	0.558406437	0.0409289228
552.5	39.5298159	0.558892532	0.0414819589
555	39.4827964	0.559404441	0.04203259
557.5	39.4357039	0.559937022	0.0425687921
560	39.3893223	0.560485136	0.0430785408
562.5	39.3444317	0.56104364	0.0435498118
565	39.3018087	0.561607394	0.0439705809
567.5	39.2622268	0.562171257	0.0443288239
570	39.2264571	0.562730086	0.0446125164
572.5	39.1952688	0.563278742	0.0448096342
575	39.1694298	0.563812082	0.044908153
577.5	39.1489305	0.564335611	0.0448969143
580	39.1308993	0.564888865	0.0447777138
582.5	39.1147514	0.56547351	0.0445623191
585	39.1002208	0.566086538	0.0442627546
587.5	39.087042	0.566724941	0.0438910444
590	39.0749503	0.567385712	0.043459213
592.5	39.063681	0.568065842	0.0429792845
595	39.0529702	0.568762324	0.0424632832
597.5	39.042554	0.56947215	0.0419232334
600	39.032169	0.570192312	0.0413711593
602.5	39.021552	0.570919802	0.0408190852
605	39.01044	0.571651613	0.0402790353
607.5	38.9985705	0.572384736	0.039763034
610	38.9856812	0.573116164	0.0392831055
612.5	38.9715103	0.573842889	0.0388512741
615	38.9557965	0.574561902	0.038479564
617.5	38.9382791	0.575270198	0.0381799994
620	38.9186979	0.575964766	0.0379646048
622.5	38.8967939	0.5766426	0.0378454042
625	38.8708132	0.577307292	0.0378402364
627.5	38.8275523	0.578014596	0.0380044344
630	38.7659522	0.578769778	0.038332964
632.5	38.688494	0.57956283	0.0388057847
635	38.5976612	0.580383747	0.0394028562
637.5	38.4959306	0.581222524	0.0401041379
640	38.3857644	0.582069155	0.0408895895
642.5	38.2696046	0.582913633	0.0417391704
645	38.1498677	0.583745954	0.0426328403
647.5	38.0289425	0.58455611	0.0435505588
650	37.9091881	0.585334097	0.0444722853
652.5	37.7929341	0.586069909	0.0453779795
655	37.6824821	0.58675354	0.0462476009
657.5	37.5801083	0.587374984	0.0470611091
660	37.488068	0.587924235	0.0477984636
662.5	37.408601	0.588391287	0.048439624
665	37.3439387	0.588766135	0.0489645499
667.5	37.2963124	0.589038774	0.0493532008
670	37.2679631	0.589199196	0.0495855363
672.5	37.2610514	0.589229657	0.0496438619
675	37.2735293	0.58888019	0.0495922912
677.5	37.3023156	0.588074425	0.0494733847
680	37.3455044	0.586866681	0.0492951584
682.5	37.401199	0.585311282	0.0490656287
685	37.4675052	0.583462547	0.0487928116
687.5	37.5425251	0.581374799	0.0484847234
690	37.6243524	0.579102358	0.0481493802
692.5	37.7110682	0.576699547	0.0477947981
695	37.800738	0.574220685	0.0474289935
