x	y	mean	halfci
1	4	97.677165	0.408130
2	4	2.086614	0.460868
3	4	0.039370	0.089061
4	4	0.196850	0.148436
1	3	1.862745	0.493460
2	3	83.856209	1.177682
3	3	11.764706	1.139953
4	3	2.516340	0.633550
1	2	0.000000	0.000000
2	2	0.000000	0.000000
3	2	100.000000	0.000000
4	2	0.000000	0.000000
1	1	0.200000	0.123136
2	1	0.633333	0.237124
3	1	0.000000	0.000000
4	1	99.166667	0.281019
