source,seed,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_step,best_val_loss,learning_rate,training_budget,max_steps,budget_epoch_steps,val_every,patience_evals,batch_real,batch_synthetic,real_examples_seen,synthetic_examples_seen,experiment
step,8,1,0.010980592441266599,2.5357108116149902,2.5151346206665037,0.27448979591836736,0.3295918367346939,0,1,2.5151346206665037,3.225806451612903e-06,compute,1705,31,80,8,43,85,43,85,filtered_r2
step,8,80,0.8784473953013279,1.9326857547216778,0.6886527628314738,0.8316326530612245,0.9785714285714285,0,80,0.6886527628314738,0.00025806451612903227,compute,1705,31,80,8,43,85,3440,6800,filtered_r2
step,8,160,1.7568947906026557,0.7375558970496059,0.2711851154054914,0.9306122448979591,0.9918367346938776,0,160,0.2711851154054914,0.0004999871624350509,compute,1705,31,80,8,43,85,6880,13600,filtered_r2
step,8,240,2.635342185903984,0.5059041078668087,0.04701333486912202,0.95,0.9948979591836735,0,240,0.04701333486912202,0.0004962990794052847,compute,1705,31,80,8,43,85,10320,20400,filtered_r2
step,8,320,3.5137895812053115,0.33877926915884016,-0.03465220362556224,0.9489795918367347,0.9948979591836735,0,320,-0.03465220362556224,0.00048614958518009677,compute,1705,31,80,8,43,85,13760,27200,filtered_r2
step,8,400,4.39223697650664,0.1864618392661214,-0.1884471606235115,0.963265306122449,0.9928571428571429,0,400,-0.1884471606235115,0.0004698049416382277,compute,1705,31,80,8,43,85,17200,34000,filtered_r2
step,8,480,5.270684371807968,0.20010465420782567,-0.2704158703891598,0.9653061224489796,0.9938775510204082,0,480,-0.2704158703891598,0.0004476939342344246,compute,1705,31,80,8,43,85,20640,40800,filtered_r2
step,8,560,6.149131767109295,0.11513563208281993,-0.3679163362298693,0.9744897959183674,0.9948979591836735,0,560,-0.3679163362298693,0.00042039662323982603,compute,1705,31,80,8,43,85,24080,47600,filtered_r2
step,8,640,7.027579162410623,0.101004134491086,-0.36470754998070853,0.9846938775510204,0.9948979591836735,1,560,-0.3679163362298693,0.0003886291264381089,compute,1705,31,80,8,43,85,27520,54400,filtered_r2
step,8,720,7.906026557711951,0.08452197648584843,-0.4383784081254687,0.9806122448979592,0.9959183673469387,0,720,-0.4383784081254687,0.000353224832488219,compute,1705,31,80,8,43,85,30960,61200,filtered_r2
step,8,800,8.78447395301328,-0.03574748709797859,-0.5386949655961017,0.9806122448979592,0.9938775510204082,0,800,-0.5386949655961017,0.0003151125378024133,compute,1705,31,80,8,43,85,34400,68000,filtered_r2
step,8,880,9.662921348314606,-0.2986084772273898,-0.6095764605366454,0.9816326530612245,0.9938775510204082,0,880,-0.6095764605366454,0.00027529208049685805,compute,1705,31,80,8,43,85,37840,74800,filtered_r2
step,8,960,10.541368743615935,-0.19586582966148852,-0.6668007437063723,0.9846938775510204,0.9948979591836735,0,960,-0.6668007437063723,0.000234808110633836,compute,1705,31,80,8,43,85,41280,81600,filtered_r2
step,8,1040,11.419816138917263,-0.25779087394475936,-0.6990959790288186,0.9836734693877551,0.9938775510204082,0,1040,-0.6990959790288186,0.0001947226848671508,compute,1705,31,80,8,43,85,44720,88400,filtered_r2
step,8,1120,12.29826353421859,-0.27371321208775046,-0.7474006706354569,0.986734693877551,0.9948979591836735,0,1120,-0.7474006706354569,0.00015608740444292746,compute,1705,31,80,8,43,85,48160,95200,filtered_r2
step,8,1200,13.176710929519919,-0.3839261822402477,-0.6954349700285464,0.9857142857142858,0.9938775510204082,1,1120,-0.7474006706354569,0.00011991582748762803,compute,1705,31,80,8,43,85,51600,102000,filtered_r2
step,8,1280,14.055158324821246,-0.39351826161146164,-0.762931928829271,0.986734693877551,0.9938775510204082,0,1280,-0.762931928829271,8.715687931944449e-05,compute,1705,31,80,8,43,85,55040,108800,filtered_r2
step,8,1360,14.933605720122575,-0.16436201371252537,-0.689686144371422,0.9857142857142858,0.9938775510204082,1,1280,-0.762931928829271,5.866995833708463e-05,compute,1705,31,80,8,43,85,58480,115600,filtered_r2
step,8,1440,15.812053115423902,-0.19639065489172935,-0.7606834844667084,0.9887755102040816,0.9938775510204082,2,1280,-0.762931928829271,3.520239055818114e-05,compute,1705,31,80,8,43,85,61920,122400,filtered_r2
step,8,1520,16.69050051072523,-0.20960984341800212,-0.7489980537064221,0.986734693877551,0.9928571428571429,3,1280,-0.762931928829271,1.7369824265066364e-05,compute,1705,31,80,8,43,85,65360,129200,filtered_r2
step,8,1600,17.56894790602656,-0.28139378130435944,-0.7341502330741104,0.9846938775510204,0.9938775510204082,4,1280,-0.762931928829271,5.640079084868633e-06,compute,1705,31,80,8,43,85,68800,136000,filtered_r2
step,8,1680,18.447395301327887,-0.3028979580849409,-0.7907509015530956,0.9877551020408163,0.9948979591836735,0,1680,-0.7907509015530956,3.208732072368104e-07,compute,1705,31,80,8,43,85,72240,142800,filtered_r2
step,8,1705,18.721910112359552,-0.4544819486141205,-0.7936619014156108,0.9887755102040816,0.9948979591836735,1,1705,-0.7936619014156108,0.0,compute,1705,31,80,8,43,85,73315,144925,filtered_r2
