source,seed,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_step,best_val_loss,learning_rate,training_budget,max_steps,budget_epoch_steps,val_every,patience_evals,batch_real,batch_synthetic,real_examples_seen,synthetic_examples_seen,experiment
step,4,1,0.01634320735444331,2.5407772064208984,2.509955371156031,0.2357142857142857,0.3795918367346939,0,1,2.509955371156031,3.225806451612903e-06,compute,1705,31,80,8,64,64,64,64,filtered_r1
step,4,80,1.3074565883554647,1.945472902135004,0.7076362055175158,0.8561224489795919,0.9755102040816327,0,80,0.7076362055175158,0.00025806451612903227,compute,1705,31,80,8,64,64,5120,5120,filtered_r1
step,4,160,2.6149131767109295,0.5612322192173451,0.1714095647237739,0.9326530612244898,0.9938775510204082,0,160,0.1714095647237739,0.0004999871624350509,compute,1705,31,80,8,64,64,10240,10240,filtered_r1
step,4,240,3.9223697650663945,0.388629228528589,-0.02338933299998848,0.9663265306122449,0.9979591836734694,0,240,-0.02338933299998848,0.0004962990794052847,compute,1705,31,80,8,64,64,15360,15360,filtered_r1
step,4,320,5.229826353421859,0.279460808634758,-0.12527287638917262,0.9806122448979592,0.9948979591836735,0,320,-0.12527287638917262,0.00048614958518009677,compute,1705,31,80,8,64,64,20480,20480,filtered_r1
step,4,400,6.537282941777324,0.26996696563437583,-0.17470686435699462,0.9775510204081632,0.996938775510204,0,400,-0.17470686435699462,0.0004698049416382277,compute,1705,31,80,8,64,64,25600,25600,filtered_r1
step,4,480,7.844739530132789,0.19928465653210878,-0.25702681358979673,0.9724489795918367,0.9959183673469387,0,480,-0.25702681358979673,0.0004476939342344246,compute,1705,31,80,8,64,64,30720,30720,filtered_r1
step,4,560,9.152196118488254,0.11559414714574814,-0.33258511119959305,0.976530612244898,0.9948979591836735,0,560,-0.33258511119959305,0.00042039662323982603,compute,1705,31,80,8,64,64,35840,35840,filtered_r1
step,4,640,10.459652706843718,-0.01966216415166855,-0.465817180215096,0.9846938775510204,0.9938775510204082,0,640,-0.465817180215096,0.0003886291264381089,compute,1705,31,80,8,64,64,40960,40960,filtered_r1
step,4,720,11.767109295199182,-0.11478957310318946,-0.5412219743339383,0.9908163265306122,0.996938775510204,0,720,-0.5412219743339383,0.000353224832488219,compute,1705,31,80,8,64,64,46080,46080,filtered_r1
step,4,800,13.074565883554648,-0.1664947783574462,-0.5964135714939662,0.9877551020408163,0.9959183673469387,0,800,-0.5964135714939662,0.0003151125378024133,compute,1705,31,80,8,64,64,51200,51200,filtered_r1
step,4,880,14.382022471910112,-0.09698124807327986,-0.6234194755554199,0.9857142857142858,0.9938775510204082,0,880,-0.6234194755554199,0.00027529208049685805,compute,1705,31,80,8,64,64,56320,56320,filtered_r1
step,4,960,15.689479060265578,-0.28228671103715897,-0.648134479230764,0.9826530612244898,0.9948979591836735,0,960,-0.648134479230764,0.000234808110633836,compute,1705,31,80,8,64,64,61440,61440,filtered_r1
step,4,1040,16.99693564862104,-0.22394416853785515,-0.6752248104737729,0.9877551020408163,0.9938775510204082,0,1040,-0.6752248104737729,0.0001947226848671508,compute,1705,31,80,8,64,64,66560,66560,filtered_r1
step,4,1120,18.304392236976508,-0.4000364951789379,-0.7238948904738134,0.986734693877551,0.9938775510204082,0,1120,-0.7238948904738134,0.00015608740444292746,compute,1705,31,80,8,64,64,71680,71680,filtered_r1
step,4,1200,19.611848825331972,-0.15466368719935417,-0.742766831602369,0.9908163265306122,0.9948979591836735,0,1200,-0.742766831602369,0.00011991582748762803,compute,1705,31,80,8,64,64,76800,76800,filtered_r1
step,4,1280,20.919305413687436,-0.17689301818609238,-0.7458887550295615,0.9918367346938776,0.9948979591836735,1,1280,-0.7458887550295615,8.715687931944449e-05,compute,1705,31,80,8,64,64,81920,81920,filtered_r1
step,4,1360,22.2267620020429,-0.18437137007713317,-0.7649215075434471,0.9938775510204082,0.9948979591836735,0,1360,-0.7649215075434471,5.866995833708463e-05,compute,1705,31,80,8,64,64,87040,87040,filtered_r1
step,4,1440,23.534218590398364,-0.14953184351325036,-0.7779570594125864,0.9928571428571429,0.9948979591836735,0,1440,-0.7779570594125864,3.520239055818114e-05,compute,1705,31,80,8,64,64,92160,92160,filtered_r1
step,4,1520,24.84167517875383,-0.32884271144866944,-0.7783176680000461,0.9938775510204082,0.9938775510204082,1,1520,-0.7783176680000461,1.7369824265066364e-05,compute,1705,31,80,8,64,64,97280,97280,filtered_r1
step,4,1600,26.149131767109296,-0.2794925168156624,-0.7716052128344166,0.9928571428571429,0.9938775510204082,2,1520,-0.7783176680000461,5.640079084868633e-06,compute,1705,31,80,8,64,64,102400,102400,filtered_r1
step,4,1680,27.45658835546476,-0.21602289266884328,-0.7932778519027087,0.9928571428571429,0.9938775510204082,0,1680,-0.7932778519027087,3.208732072368104e-07,compute,1705,31,80,8,64,64,107520,107520,filtered_r1
step,4,1705,27.865168539325843,-0.2872428023815155,-0.7776236397879465,0.9928571428571429,0.9938775510204082,1,1680,-0.7932778519027087,0.0,compute,1705,31,80,8,64,64,109120,109120,filtered_r1
