source,seed,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_step,best_val_loss,learning_rate,training_budget,max_steps,budget_epoch_steps,val_every,patience_evals,batch_real,batch_synthetic,real_examples_seen,synthetic_examples_seen,experiment
step,9,1,0.010980592441266599,2.5471553802490234,2.503726370480596,0.3020408163265306,0.3489795918367347,0,1,2.503726370480596,3.225806451612903e-06,compute,1705,31,80,8,43,85,43,85,filtered_r2
step,9,80,0.8784473953013279,1.8964747846881045,0.6665594071758036,0.863265306122449,0.9714285714285714,0,80,0.6665594071758036,0.00025806451612903227,compute,1705,31,80,8,43,85,3440,6800,filtered_r2
step,9,160,1.7568947906026557,0.6453876401297748,0.19387254398696277,0.9326530612244898,0.9948979591836735,0,160,0.19387254398696277,0.0004999871624350509,compute,1705,31,80,8,43,85,6880,13600,filtered_r2
step,9,240,2.635342185903984,0.5040618519298732,0.04132926901992486,0.9530612244897959,0.9948979591836735,0,240,0.04132926901992486,0.0004962990794052847,compute,1705,31,80,8,43,85,10320,20400,filtered_r2
step,9,320,3.5137895812053115,0.2627392872236669,-0.13313555206571306,0.963265306122449,0.9959183673469387,0,320,-0.13313555206571306,0.00048614958518009677,compute,1705,31,80,8,43,85,13760,27200,filtered_r2
step,9,400,4.39223697650664,0.1679006396792829,-0.20455049933219444,0.9693877551020408,0.996938775510204,0,400,-0.20455049933219444,0.0004698049416382277,compute,1705,31,80,8,43,85,17200,34000,filtered_r2
step,9,480,5.270684371807968,0.26529759615659715,-0.23514120639586936,0.9693877551020408,0.9938775510204082,0,480,-0.23514120639586936,0.0004476939342344246,compute,1705,31,80,8,43,85,20640,40800,filtered_r2
step,9,560,6.149131767109295,0.1208117449656129,-0.35391016274082415,0.9755102040816327,0.996938775510204,0,560,-0.35391016274082415,0.00042039662323982603,compute,1705,31,80,8,43,85,24080,47600,filtered_r2
step,9,640,7.027579162410623,-0.03426006883382797,-0.4043153616846824,0.9724489795918367,0.9959183673469387,0,640,-0.4043153616846824,0.0003886291264381089,compute,1705,31,80,8,43,85,27520,54400,filtered_r2
step,9,720,7.906026557711951,-0.09948000740259885,-0.5007168820926121,0.9775510204081632,0.996938775510204,0,720,-0.5007168820926121,0.000353224832488219,compute,1705,31,80,8,43,85,30960,61200,filtered_r2
step,9,800,8.78447395301328,-0.019853130914270878,-0.49059144088200163,0.9775510204081632,0.9959183673469387,1,720,-0.5007168820926121,0.0003151125378024133,compute,1705,31,80,8,43,85,34400,68000,filtered_r2
step,9,880,9.662921348314606,-0.15903431065380574,-0.5969286991625417,0.9795918367346939,0.9959183673469387,0,880,-0.5969286991625417,0.00027529208049685805,compute,1705,31,80,8,43,85,37840,74800,filtered_r2
step,9,960,10.541368743615935,-0.14401961788535117,-0.6186325676587163,0.9816326530612245,0.9959183673469387,0,960,-0.6186325676587163,0.000234808110633836,compute,1705,31,80,8,43,85,41280,81600,filtered_r2
step,9,1040,11.419816138917263,-0.09765298254787921,-0.6569372379049963,0.9826530612244898,0.9959183673469387,0,1040,-0.6569372379049963,0.0001947226848671508,compute,1705,31,80,8,43,85,44720,88400,filtered_r2
step,9,1120,12.29826353421859,-0.12293787188827991,-0.7016384577264592,0.9806122448979592,0.9948979591836735,0,1120,-0.7016384577264592,0.00015608740444292746,compute,1705,31,80,8,43,85,48160,95200,filtered_r2
step,9,1200,13.176710929519919,-0.2920263808220625,-0.7250118756780819,0.9826530612244898,0.9959183673469387,0,1200,-0.7250118756780819,0.00011991582748762803,compute,1705,31,80,8,43,85,51600,102000,filtered_r2
step,9,1280,14.055158324821246,-0.288073543086648,-0.7345501644270761,0.9826530612244898,0.996938775510204,0,1280,-0.7345501644270761,8.715687931944449e-05,compute,1705,31,80,8,43,85,55040,108800,filtered_r2
step,9,1360,14.933605720122575,-0.34077422618865966,-0.7452463286263602,0.9836734693877551,0.996938775510204,0,1360,-0.7452463286263602,5.866995833708463e-05,compute,1705,31,80,8,43,85,58480,115600,filtered_r2
step,9,1440,15.812053115423902,-0.3320014920085669,-0.7246978448361766,0.9826530612244898,0.9959183673469387,1,1360,-0.7452463286263602,3.520239055818114e-05,compute,1705,31,80,8,43,85,61920,122400,filtered_r2
step,9,1520,16.69050051072523,-0.34103841818869113,-0.7558790328551311,0.9836734693877551,0.996938775510204,0,1520,-0.7558790328551311,1.7369824265066364e-05,compute,1705,31,80,8,43,85,65360,129200,filtered_r2
step,9,1600,17.56894790602656,-0.27756333723664284,-0.7655501667334109,0.9826530612244898,0.996938775510204,0,1600,-0.7655501667334109,5.640079084868633e-06,compute,1705,31,80,8,43,85,68800,136000,filtered_r2
step,9,1680,18.447395301327887,-0.1734937958419323,-0.7502939623229358,0.9826530612244898,0.996938775510204,1,1600,-0.7655501667334109,3.208732072368104e-07,compute,1705,31,80,8,43,85,72240,142800,filtered_r2
step,9,1705,18.721910112359552,-0.29014642000198365,-0.7465527410409889,0.9816326530612245,0.996938775510204,2,1600,-0.7655501667334109,0.0,compute,1705,31,80,8,43,85,73315,144925,filtered_r2
