source,seed,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_step,best_val_loss,learning_rate,training_budget,max_steps,budget_epoch_steps,val_every,patience_evals,batch_real,batch_synthetic,real_examples_seen,synthetic_examples_seen,experiment
step,2,1,0.010980592441266599,2.5240328311920166,2.4961505091920193,0.20408163265306123,0.3408163265306122,0,1,2.4961505091920193,3.225806451612903e-06,compute,1705,31,80,8,43,85,43,85,augmented_r2
step,2,80,0.8784473953013279,1.8665609405010561,0.6285470714374465,0.8673469387755102,0.9744897959183674,0,80,0.6285470714374465,0.00025806451612903227,compute,1705,31,80,8,43,85,3440,6800,augmented_r2
step,2,160,1.7568947906026557,0.6780180499423295,0.18158297392786765,0.9357142857142857,0.9948979591836735,0,160,0.18158297392786765,0.0004999871624350509,compute,1705,31,80,8,43,85,6880,13600,augmented_r2
step,2,240,2.635342185903984,0.43558883713558316,0.018519439624280345,0.9612244897959183,0.9959183673469387,0,240,0.018519439624280345,0.0004962990794052847,compute,1705,31,80,8,43,85,10320,20400,augmented_r2
step,2,320,3.5137895812053115,0.39744222750887276,-0.003503657421287225,0.9663265306122449,0.9948979591836735,0,320,-0.003503657421287225,0.00048614958518009677,compute,1705,31,80,8,43,85,13760,27200,augmented_r2
step,2,400,4.39223697650664,0.29548705024644734,-0.19674819537571497,0.9724489795918367,0.996938775510204,0,400,-0.19674819537571497,0.0004698049416382277,compute,1705,31,80,8,43,85,17200,34000,augmented_r2
step,2,480,5.270684371807968,0.0784208994358778,-0.2837147692028357,0.9806122448979592,0.9959183673469387,0,480,-0.2837147692028357,0.0004476939342344246,compute,1705,31,80,8,43,85,20640,40800,augmented_r2
step,2,560,6.149131767109295,0.017063467018306255,-0.36582920308015787,0.9826530612244898,0.9959183673469387,0,560,-0.36582920308015787,0.00042039662323982603,compute,1705,31,80,8,43,85,24080,47600,augmented_r2
step,2,640,7.027579162410623,0.14197631292045115,-0.4102848212329709,0.9755102040816327,0.9959183673469387,0,640,-0.4102848212329709,0.0003886291264381089,compute,1705,31,80,8,43,85,27520,54400,augmented_r2
step,2,720,7.906026557711951,-0.12485926747322082,-0.5127649827879303,0.9836734693877551,0.9948979591836735,0,720,-0.5127649827879303,0.000353224832488219,compute,1705,31,80,8,43,85,30960,61200,augmented_r2
step,2,800,8.78447395301328,-0.021576157584786416,-0.5851901845056183,0.9826530612244898,0.9948979591836735,0,800,-0.5851901845056183,0.0003151125378024133,compute,1705,31,80,8,43,85,34400,68000,augmented_r2
step,2,880,9.662921348314606,-0.18305203150957822,-0.6249098018724091,0.9857142857142858,0.9959183673469387,0,880,-0.6249098018724091,0.00027529208049685805,compute,1705,31,80,8,43,85,37840,74800,augmented_r2
step,2,960,10.541368743615935,-0.06107178293168545,-0.6068563256944929,0.9836734693877551,0.9959183673469387,1,880,-0.6249098018724091,0.000234808110633836,compute,1705,31,80,8,43,85,41280,81600,augmented_r2
step,2,1040,11.419816138917263,-0.27312954142689705,-0.7148140542361201,0.9877551020408163,0.9948979591836735,0,1040,-0.7148140542361201,0.0001947226848671508,compute,1705,31,80,8,43,85,44720,88400,augmented_r2
step,2,1120,12.29826353421859,-0.1138497170060873,-0.6609140965403343,0.986734693877551,0.9948979591836735,1,1040,-0.7148140542361201,0.00015608740444292746,compute,1705,31,80,8,43,85,48160,95200,augmented_r2
step,2,1200,13.176710929519919,-0.22685750424861909,-0.721345828990547,0.9877551020408163,0.9948979591836735,0,1200,-0.721345828990547,0.00011991582748762803,compute,1705,31,80,8,43,85,51600,102000,augmented_r2
step,2,1280,14.055158324821246,-0.16133413091301918,-0.758190914319486,0.9877551020408163,0.9948979591836735,0,1280,-0.758190914319486,8.715687931944449e-05,compute,1705,31,80,8,43,85,55040,108800,augmented_r2
step,2,1360,14.933605720122575,-0.21948898620903493,-0.741029289547278,0.9877551020408163,0.9948979591836735,1,1280,-0.758190914319486,5.866995833708463e-05,compute,1705,31,80,8,43,85,58480,115600,augmented_r2
step,2,1440,15.812053115423902,-0.20445921458303928,-0.7532922374958895,0.9857142857142858,0.9948979591836735,2,1280,-0.758190914319486,3.520239055818114e-05,compute,1705,31,80,8,43,85,61920,122400,augmented_r2
step,2,1520,16.69050051072523,-0.3423025760799646,-0.7853177980500825,0.9887755102040816,0.9948979591836735,0,1520,-0.7853177980500825,1.7369824265066364e-05,compute,1705,31,80,8,43,85,65360,129200,augmented_r2
step,2,1600,17.56894790602656,-0.3324516534805298,-0.7965142838808955,0.9887755102040816,0.9948979591836735,0,1600,-0.7965142838808955,5.640079084868633e-06,compute,1705,31,80,8,43,85,68800,136000,augmented_r2
step,2,1680,18.447395301327887,-0.39667545184493064,-0.7950370905350665,0.9887755102040816,0.9948979591836735,1,1600,-0.7965142838808955,3.208732072368104e-07,compute,1705,31,80,8,43,85,72240,142800,augmented_r2
step,2,1705,18.721910112359552,-0.35077078580856325,-0.7896182274331852,0.9887755102040816,0.9948979591836735,2,1600,-0.7965142838808955,0.0,compute,1705,31,80,8,43,85,73315,144925,augmented_r2
