source,seed,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_step,best_val_loss,learning_rate,training_budget,max_steps,budget_epoch_steps,val_every,patience_evals,batch_real,batch_synthetic,real_examples_seen,synthetic_examples_seen,experiment
step,7,1,0.010980592441266599,2.4957544803619385,2.5041625918174275,0.23469387755102042,0.3224489795918367,0,1,2.5041625918174275,3.225806451612903e-06,compute,1705,31,80,8,43,85,43,85,filtered_r2
step,7,80,0.8784473953013279,1.8612773939024043,0.6409494862264516,0.8530612244897959,0.9816326530612245,0,80,0.6409494862264516,0.00025806451612903227,compute,1705,31,80,8,43,85,3440,6800,filtered_r2
step,7,160,1.7568947906026557,0.6255519275553525,0.18018058757392727,0.9459183673469388,0.9918367346938776,0,160,0.18018058757392727,0.0004999871624350509,compute,1705,31,80,8,43,85,6880,13600,filtered_r2
step,7,240,2.635342185903984,0.5416616907343268,0.1035718144202719,0.9316326530612244,0.9948979591836735,0,240,0.1035718144202719,0.0004962990794052847,compute,1705,31,80,8,43,85,10320,20400,filtered_r2
step,7,320,3.5137895812053115,0.44230710426345465,-0.025746773943609122,0.9622448979591837,0.9948979591836735,0,320,-0.025746773943609122,0.00048614958518009677,compute,1705,31,80,8,43,85,13760,27200,filtered_r2
step,7,400,4.39223697650664,0.32566224578768016,-0.16365658616533085,0.9704081632653061,0.996938775510204,0,400,-0.16365658616533085,0.0004698049416382277,compute,1705,31,80,8,43,85,17200,34000,filtered_r2
step,7,480,5.270684371807968,0.21619897447526454,-0.2298846893772787,0.9642857142857143,0.9948979591836735,0,480,-0.2298846893772787,0.0004476939342344246,compute,1705,31,80,8,43,85,20640,40800,filtered_r2
step,7,560,6.149131767109295,0.0930837482213974,-0.34677051536890924,0.9744897959183674,0.996938775510204,0,560,-0.34677051536890924,0.00042039662323982603,compute,1705,31,80,8,43,85,24080,47600,filtered_r2
step,7,640,7.027579162410623,-0.039647601917386054,-0.43246195036537793,0.9785714285714285,0.996938775510204,0,640,-0.43246195036537793,0.0003886291264381089,compute,1705,31,80,8,43,85,27520,54400,filtered_r2
step,7,720,7.906026557711951,-0.08863271120935678,-0.4722378100667681,0.9714285714285714,0.9959183673469387,0,720,-0.4722378100667681,0.000353224832488219,compute,1705,31,80,8,43,85,30960,61200,filtered_r2
step,7,800,8.78447395301328,-0.10701939407736064,-0.5111966274222549,0.9714285714285714,0.996938775510204,0,800,-0.5111966274222549,0.0003151125378024133,compute,1705,31,80,8,43,85,34400,68000,filtered_r2
step,7,880,9.662921348314606,-0.059019952267408374,-0.5760681166940805,0.9755102040816327,0.996938775510204,0,880,-0.5760681166940805,0.00027529208049685805,compute,1705,31,80,8,43,85,37840,74800,filtered_r2
step,7,960,10.541368743615935,-0.18703963831067086,-0.593420710125748,0.9734693877551021,0.996938775510204,0,960,-0.593420710125748,0.000234808110633836,compute,1705,31,80,8,43,85,41280,81600,filtered_r2
step,7,1040,11.419816138917263,-0.1529998008161783,-0.6468376174265025,0.9806122448979592,0.996938775510204,0,1040,-0.6468376174265025,0.0001947226848671508,compute,1705,31,80,8,43,85,44720,88400,filtered_r2
step,7,1120,12.29826353421859,-0.15110275521874428,-0.6698030671294855,0.9744897959183674,0.996938775510204,0,1120,-0.6698030671294855,0.00015608740444292746,compute,1705,31,80,8,43,85,48160,95200,filtered_r2
step,7,1200,13.176710929519919,-0.2564150493592024,-0.7259993485042027,0.9775510204081632,0.996938775510204,0,1200,-0.7259993485042027,0.00011991582748762803,compute,1705,31,80,8,43,85,51600,102000,filtered_r2
step,7,1280,14.055158324821246,-0.3238314762711525,-0.7495637684452291,0.9795918367346939,0.996938775510204,0,1280,-0.7495637684452291,8.715687931944449e-05,compute,1705,31,80,8,43,85,55040,108800,filtered_r2
step,7,1360,14.933605720122575,-0.19191121831536292,-0.6998388849959082,0.9816326530612245,0.996938775510204,1,1280,-0.7495637684452291,5.866995833708463e-05,compute,1705,31,80,8,43,85,58480,115600,filtered_r2
step,7,1440,15.812053115423902,-0.30066505894064904,-0.7483490486534274,0.9775510204081632,0.9959183673469387,2,1280,-0.7495637684452291,3.520239055818114e-05,compute,1705,31,80,8,43,85,61920,122400,filtered_r2
step,7,1520,16.69050051072523,-0.22835167571902276,-0.7189243963786534,0.9816326530612245,0.996938775510204,3,1280,-0.7495637684452291,1.7369824265066364e-05,compute,1705,31,80,8,43,85,65360,129200,filtered_r2
step,7,1600,17.56894790602656,-0.4009852033108473,-0.7514470698882122,0.9785714285714285,0.996938775510204,4,1600,-0.7514470698882122,5.640079084868633e-06,compute,1705,31,80,8,43,85,68800,136000,filtered_r2
step,7,1680,18.447395301327887,-0.2979015290737152,-0.7592451409417755,0.9806122448979592,0.996938775510204,0,1680,-0.7592451409417755,3.208732072368104e-07,compute,1705,31,80,8,43,85,72240,142800,filtered_r2
step,7,1705,18.721910112359552,-0.34179977893829344,-0.750048025773496,0.9785714285714285,0.996938775510204,1,1680,-0.7592451409417755,0.0,compute,1705,31,80,8,43,85,73315,144925,filtered_r2
