source,seed,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_step,best_val_loss,learning_rate,training_budget,max_steps,budget_epoch_steps,val_every,patience_evals,batch_real,batch_synthetic,real_examples_seen,synthetic_examples_seen,experiment
step,9,1,0.03268641470888662,2.5115556716918945,2.5031616658580544,0.3020408163265306,0.3489795918367347,0,1,2.5031616658580544,3.225806451612903e-06,compute,1705,31,80,8,128,0,128,0,baseline
step,9,80,2.6149131767109295,1.8570491814915138,0.6005004783065951,0.8806122448979592,0.9795918367346939,0,80,0.6005004783065951,0.00025806451612903227,compute,1705,31,80,8,128,0,10240,0,baseline
step,9,160,5.229826353421859,0.6366790777537972,0.1393205535655119,0.9561224489795919,0.9897959183673469,0,160,0.1393205535655119,0.0004999871624350509,compute,1705,31,80,8,128,0,20480,0,baseline
step,9,240,7.844739530132789,0.48127668565139176,0.03258264274621497,0.9571428571428572,0.9948979591836735,0,240,0.03258264274621497,0.0004962990794052847,compute,1705,31,80,8,128,0,30720,0,baseline
step,9,320,10.459652706843718,0.2514918907545507,-0.12816638910040565,0.9653061224489796,0.9948979591836735,0,320,-0.12816638910040565,0.00048614958518009677,compute,1705,31,80,8,128,0,40960,0,baseline
step,9,400,13.074565883554648,0.1634379039518535,-0.19371639490127562,0.9714285714285714,0.9948979591836735,0,400,-0.19371639490127562,0.0004698049416382277,compute,1705,31,80,8,128,0,51200,0,baseline
step,9,480,15.689479060265578,0.253972751647234,-0.2575702391108688,0.9755102040816327,0.9948979591836735,0,480,-0.2575702391108688,0.0004476939342344246,compute,1705,31,80,8,128,0,61440,0,baseline
step,9,560,18.304392236976508,0.12455333769321442,-0.33164891746579384,0.9704081632653061,0.996938775510204,0,560,-0.33164891746579384,0.00042039662323982603,compute,1705,31,80,8,128,0,71680,0,baseline
step,9,640,20.919305413687436,-0.033069982379674914,-0.41984042561784085,0.9785714285714285,0.996938775510204,0,640,-0.41984042561784085,0.0003886291264381089,compute,1705,31,80,8,128,0,81920,0,baseline
step,9,720,23.534218590398364,-0.0997770767658949,-0.49017379381218734,0.9755102040816327,0.996938775510204,0,720,-0.49017379381218734,0.000353224832488219,compute,1705,31,80,8,128,0,92160,0,baseline
step,9,800,26.149131767109296,-0.02388629298657179,-0.49239669551654736,0.9755102040816327,0.996938775510204,1,800,-0.49239669551654736,0.0003151125378024133,compute,1705,31,80,8,128,0,102400,0,baseline
step,9,880,28.764044943820224,-0.1536931736394763,-0.5885960890322316,0.9755102040816327,0.996938775510204,0,880,-0.5885960890322316,0.00027529208049685805,compute,1705,31,80,8,128,0,112640,0,baseline
step,9,960,31.378958120531156,-0.15384177640080451,-0.6264464534058862,0.9795918367346939,0.996938775510204,0,960,-0.6264464534058862,0.000234808110633836,compute,1705,31,80,8,128,0,122880,0,baseline
step,9,1040,33.99387129724208,-0.1017189584672451,-0.6431412453554115,0.9775510204081632,0.996938775510204,0,1040,-0.6431412453554115,0.0001947226848671508,compute,1705,31,80,8,128,0,133120,0,baseline
step,9,1120,36.608784473953015,-0.126798951998353,-0.6897457614236948,0.9816326530612245,0.9959183673469387,0,1120,-0.6897457614236948,0.00015608740444292746,compute,1705,31,80,8,128,0,143360,0,baseline
step,9,1200,39.223697650663944,-0.2938602097332478,-0.7205268400056022,0.9826530612244898,0.996938775510204,0,1200,-0.7205268400056022,0.00011991582748762803,compute,1705,31,80,8,128,0,153600,0,baseline
step,9,1280,41.83861082737487,-0.29823410883545876,-0.7269882676552754,0.9846938775510204,0.9959183673469387,0,1280,-0.7269882676552754,8.715687931944449e-05,compute,1705,31,80,8,128,0,163840,0,baseline
step,9,1360,44.4535240040858,-0.3396615769714117,-0.7380458140859798,0.9816326530612245,0.996938775510204,0,1360,-0.7380458140859798,5.866995833708463e-05,compute,1705,31,80,8,128,0,174080,0,baseline
step,9,1440,47.06843718079673,-0.32621558010578156,-0.7196537650361353,0.9806122448979592,0.9959183673469387,1,1360,-0.7380458140859798,3.520239055818114e-05,compute,1705,31,80,8,128,0,184320,0,baseline
step,9,1520,49.68335035750766,-0.3469231266528368,-0.7488018181859231,0.9826530612244898,0.996938775510204,0,1520,-0.7488018181859231,1.7369824265066364e-05,compute,1705,31,80,8,128,0,194560,0,baseline
step,9,1600,52.29826353421859,-0.2725415129214525,-0.7576869589941843,0.9816326530612245,0.996938775510204,0,1600,-0.7576869589941843,5.640079084868633e-06,compute,1705,31,80,8,128,0,204800,0,baseline
step,9,1680,54.91317671092952,-0.17819311171770097,-0.7382214572964882,0.9816326530612245,0.996938775510204,1,1600,-0.7576869589941843,3.208732072368104e-07,compute,1705,31,80,8,128,0,215040,0,baseline
step,9,1705,55.73033707865169,-0.2825501835346222,-0.7421958504890909,0.9826530612244898,0.996938775510204,2,1600,-0.7576869589941843,0.0,compute,1705,31,80,8,128,0,218240,0,baseline
