source,seed,epoch,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_epoch,best_val_loss,learning_rate,experiment
epoch,6,1,1,1.0,1.717430023025828,2.434204523903983,0.4418367346938776,0.8591836734693877,0,1,2.434204523903983,0.001,augmented_r1
epoch,6,2,2,2.0,1.1598847599068502,1.3387733712488292,0.6816326530612244,0.9071428571428571,0,2,1.3387733712488292,0.001,augmented_r1
epoch,6,3,3,3.0,0.9056319278097131,1.1346080429699956,0.8785714285714286,0.8908163265306123,0,3,1.1346080429699956,0.001,augmented_r1
epoch,6,4,4,4.0,0.7779921455595421,1.6044662816183908,0.5744897959183674,0.9581632653061225,1,3,1.1346080429699956,0.001,augmented_r1
epoch,6,5,5,5.0,0.6805770516774354,1.100527798886202,0.7428571428571429,0.9612244897959183,0,5,1.100527798886202,0.001,augmented_r1
epoch,6,6,6,6.0,0.6057712133505427,0.6746745732365822,0.9244897959183673,0.9775510204081632,0,6,0.6746745732365822,0.001,augmented_r1
epoch,6,7,7,7.0,0.5512198299724191,1.4709745601731903,0.9153061224489796,0.6255102040816326,1,6,0.6746745732365822,0.001,augmented_r1
epoch,6,8,8,8.0,0.4724053035959892,0.7957019852132213,0.8397959183673469,0.9775510204081632,2,6,0.6746745732365822,0.001,augmented_r1
epoch,6,9,9,9.0,0.40014623989584874,0.9739914762730502,0.8030612244897959,0.9102040816326531,3,6,0.6746745732365822,0.001,augmented_r1
epoch,6,10,10,10.0,0.39355877785860166,0.6945981142472247,0.9061224489795918,0.9193877551020408,4,6,0.6746745732365822,0.001,augmented_r1
epoch,6,11,11,11.0,0.36528321613629083,0.9347657938392795,0.7948979591836735,0.9520408163265306,5,6,0.6746745732365822,0.001,augmented_r1
epoch,6,12,12,12.0,0.2787513833017821,1.3021574983791429,0.6877551020408164,0.9744897959183674,6,6,0.6746745732365822,0.001,augmented_r1
