x	y	percent	count
1	4	72.0472441	1830
2	4	22.007874	559
3	4	0.826771654	21
4	4	5.11811024	130
1	3	8.95424837	274
2	3	59.6078431	1824
3	3	7.67973856	235
4	3	23.7581699	727
1	2	0.0714285714	1
2	2	0	0
3	2	99.9285714	1399
4	2	0	0
1	1	1.06666667	32
2	1	1.7	51
3	1	0.366666667	11
4	1	96.8666667	2906
