x	y	percent	count
1	4	71.6929134	1821
2	4	23.2283465	590
3	4	0.787401575	20
4	4	4.29133858	109
1	3	8.7254902	267
2	3	61.5686275	1884
3	3	6.92810458	212
4	3	22.7777778	697
1	2	0.214285714	3
2	2	0	0
3	2	99.7857143	1397
4	2	0	0
1	1	1.36666667	41
2	1	0.7	21
3	1	0.266666667	8
4	1	97.6666667	2930
