x	y	percent	count
1	4	71.0629921	1805
2	4	25.0787402	637
3	4	0.826771654	21
4	4	3.03149606	77
1	3	9.50980392	291
2	3	64.6078431	1977
3	3	6.11111111	187
4	3	19.7712418	605
1	2	0.0714285714	1
2	2	0	0
3	2	99.9285714	1399
4	2	0	0
1	1	1.03333333	31
2	1	2	60
3	1	0.7	21
4	1	96.2666667	2888
