x	y	percent	count
1	4	71.3779528	1813
2	4	23.503937	597
3	4	0.866141732	22
4	4	4.2519685	108
1	3	8.5620915	262
2	3	62.2875817	1906
3	3	7.09150327	217
4	3	22.0588235	675
1	2	0.142857143	2
2	2	0	0
3	2	99.8571429	1398
4	2	0	0
1	1	1.06666667	32
2	1	1.46666667	44
3	1	0.366666667	11
4	1	97.1	2913
