x	y	mean	halfci
1	4	71.6614173	0.556635283
2	4	23.2283465	1.49613416
3	4	0.881889764	0.156862581
4	4	4.22834646	0.93672305
1	3	8.88888889	0.465238781
2	3	62.0392157	2.22078073
3	3	6.84313725	0.759334447
4	3	22.2287582	1.86325337
1	2	0.185714286	0.183882607
2	2	0	0
3	2	99.8142857	0.183882607
4	2	0	0
1	1	1.16666667	0.191881204
2	1	1.5	0.60466126
3	1	0.406666667	0.209787577
4	1	96.9266667	0.637339077
