comparison	metric	y	delta_pp	err_minus	err_plus	ci_low_pp	ci_high_pp	p_value_holm	significant
filtered_r1	accuracy	7.08	-1.1	0.89	0.83	-1.99	-0.27	0.331133773	0
filtered_r1	macro_f1	6.08	-1.19132196	0.924842668	0.901525566	-2.11616462	-0.28979639	0.24955009	0
filtered_r1	weighted_f1	5.08	-1.30363426	0.996123374	0.947677719	-2.29975764	-0.355956544	0.209958008	0
filtered_r1	f1[glioma]	4.08	0.921667702	1.379301	1.42368808	-0.457633295	2.34535578	1	0
filtered_r1	f1[meningioma]	3.08	-2.56273123	1.82488402	1.7380277	-4.38761526	-0.824703536	0.075584883	0
filtered_r1	f1[no_tumor]	2.08	-1.14828242	1.58807956	1.49288522	-2.73636197	0.3446028	1	0
