comparison	metric	y	delta_pp	err_minus	err_plus	ci_low_pp	ci_high_pp	p_value_holm	significant
augmented_r1	accuracy	6.76	-0.39	0.79	0.75	-1.18	0.36	1	0
augmented_r1	macro_f1	5.76	-0.473718376	0.811769733	0.783078918	-1.28548811	0.309360542	1	0
augmented_r1	weighted_f1	4.76	-0.496703317	0.82324751	0.822167187	-1.31995083	0.325463869	1	0
augmented_r1	f1[glioma]	3.76	0.660011872	1.42758932	1.39470755	-0.767577453	2.05471943	1	0
augmented_r1	f1[meningioma]	2.76	-0.97271019	1.49541811	1.39144707	-2.4681283	0.418736884	1	0
augmented_r1	f1[no_tumor]	1.76	-0.674722133	1.30801888	1.32805475	-1.98274102	0.65333262	1	0
augmented_r1	f1[pituitary]	0.76	-0.907453054	0.831768496	0.789781243	-1.73922155	-0.117671811	0.49710058	0
