comparison	metric	y	delta_pp	err_minus	err_plus	ci_low_pp	ci_high_pp	p_value_holm	significant
augmented_r2	accuracy	6.92	-0.37	0.92	0.93	-1.29	0.56	1	0
augmented_r2	macro_f1	5.92	-0.458605651	0.948488271	0.919739416	-1.40709392	0.461133765	1	0
augmented_r2	weighted_f1	4.92	-0.520515219	0.965694328	0.956838681	-1.48620955	0.436323461	1	0
augmented_r2	f1[glioma]	3.92	0.620508022	1.60463665	1.67070691	-0.984128626	2.29121493	1	0
augmented_r2	f1[meningioma]	2.92	-1.12930479	1.74829295	1.70126201	-2.87759774	0.571957224	1	0
augmented_r2	f1[no_tumor]	1.92	-0.407067248	1.54378684	1.48055294	-1.95085409	1.0734857	1	0
augmented_r2	f1[pituitary]	0.92	-0.918558593	0.99151748	0.952393759	-1.91007607	0.0338351661	1	0
