x	y	mean	halfci
1	4	96.2047244	0.730373663
2	4	3.64566929	0.744946953
3	4	0.102362205	0.0437165354
4	4	0.0472440945	0.0408930744
1	3	3.89542484	0.8950426
2	3	87.3921569	1.82103472
3	3	6.43137255	2.41496514
4	3	2.28104575	0.168258594
1	2	0.0142857143	0.0396571429
2	2	0	0
3	2	99.9857143	0.0396571429
4	2	0	0
1	1	0.14	0.12888402
2	1	0.92	0.169616402
3	1	0	0
4	1	98.94	0.250695326
