x	y	mean	halfci
1	3	99.281407	0.159966581
2	3	0.628140704	0.103454106
3	3	0.0904522613	0.0608055451
1	2	1.65245902	0.176487335
2	2	96.4655738	0.61555619
3	2	1.88196721	0.535838484
1	1	0.0875420875	0.0476595225
2	1	1.53535354	0.149548822
3	1	98.3771044	0.115990754
